	date	state	positive	negative	pending	hospitalized	death	total	hash	dateChecked	totalTestResults	fips	deathIncrease	hospitalizedIncrease	negativeIncrease	positiveIncrease	totalTestResultsIncrease
94	20200331	OH	2199.0	26992.0		585.0	55.0	29191	56537e2f7f6e54885e722919d6813e49e1fa903f	2020-03-31T20:00:00Z	29191	39	16.0	110.0	1650.0	266.0	1916.0
95	20200331	OK	565.0	1229.0		177.0	23.0	1794	89d51a0e23b5a6ba848ced90b20667ea0a83546d	2020-03-31T20:00:00Z	1794	40	6.0	24.0	22.0	84.0	106.0
96	20200331	OR	690.0	13136.0		154.0	18.0	13826	a0597b1e0c1619028c5c1411bc7c66f4cee095bb	2020-03-31T20:00:00Z	13826	41	2.0	14.0	859.0	84.0	943.0
97	20200331	PA	4843.0	37645.0		514.0	63.0	42488	859b292efb917c50c766e6cfdf70d67fc04760d5	2020-03-31T20:00:00Z	42488	42	14.0	128.0	3868.0	756.0	4624.0
98	20200331	PR	239.0	1195.0	854.0		8.0	2288	b0468ca48d2822abc0fd8af65e7f734406da659c	2020-03-31T20:00:00Z	1434	72	2.0	0.0	264.0	65.0	329.0
99	20200331	RI	488.0	3476.0		59.0	8.0	3964	c7ca5c15ac47228671a25e03ce72daab10615046	2020-03-31T20:00:00Z	3964	44	4.0	18.0	289.0	80.0	369.0
100	20200331	SC	1083.0	4616.0		259.0	22.0	5699	26537d295df6aee9a1fd0a499dbfc71164a943f2	2020-03-31T20:00:00Z	5699	45	4.0	130.0	456.0	158.0	614.0
101	20200331	SD	108.0	3609.0	0.0	12.0	1.0	3717	d7d6571dce4f0c4840ff6b98a43c901365811823	2020-03-31T20:00:00Z	3717	46	0.0	12.0	131.0	7.0	138.0
102	20200331	TN	2239.0	25121.0		175.0	23.0	27360	0c54cfb58d620e78e0b6d37e7f450543482b7027	2020-03-31T20:00:00Z	27360	47	10.0	27.0	3651.0	405.0	4056.0
103	20200331	TX	3266.0	39726.0		196.0	41.0	42992	f21908108db00ba46a68af33f20005b0fdd1ff52	2020-03-31T20:00:00Z	42992	48	7.0	196.0	6723.0	389.0	7112.0
104	20200331	UT	887.0	17626.0		73.0	5.0	18513	b9823cbd95292baff2a6dc6cfa4fcf64a6672b2b	2020-03-31T20:00:00Z	18513	49	1.0	73.0	2429.0	81.0	2510.0
105	20200331	VA	1250.0	12151.0		165.0	27.0	13401	b95f5c4fa2554f50186de7b9f01633e139c86b46	2020-03-31T20:00:00Z	13401	51	2.0	29.0	1133.0	230.0	1363.0
106	20200331	VI	30.0	126.0	24.0			180	bc8434a222d5f55f964edf728c999f90af478f26	2020-03-31T20:00:00Z	156	78	0.0	0.0	0.0	0.0	0.0
107	20200331	VT	293.0	3957.0		36.0	13.0	4250	ee85ff98aa3569f1746459726b078a2eea8ac33e	2020-03-31T20:00:00Z	4250	50	1.0	18.0	283.0	37.0	320.0
108	20200331	WA	4896.0	60566.0		254.0	195.0	65462	0f64b8e6478763d41a5c9d058ce8e981f5ef6940	2020-03-31T20:00:00Z	65462	53	0.0	0.0	0.0	0.0	0.0
109	20200331	WI	1351.0	17375.0		337.0	16.0	18726	8fc3c3935a26c95b0719c8d1dc92a3fe19e33d49	2020-03-31T20:00:00Z	18726	55	2.0	337.0	1519.0	130.0	1649.0
110	20200331	WV	162.0	3981.0		1.0	1.0	4143	7383b78ba310ab37fa4c86fbfe56e18bdf8ed4d0	2020-03-31T20:00:00Z	4143	54	0.0	0.0	997.0	36.0	1033.0
111	20200331	WY	109.0	1999.0		17.0	0.0	2108	75efb74bd6f260608ff4de9e62175d22a2481c3d	2020-03-31T20:00:00Z	2108	56	0.0	0.0	159.0	15.0	174.0
112	20200330	AK	114.0	3540.0		7.0	3.0	3654	01a1c96fd2ed214d8747ab778c2fec7203c8cd2f	2020-03-30T20:00:00Z	3654	2	1.0	1.0	308.0	12.0	320.0
113	20200330	AL	859.0	5694.0			6.0	6553	1ced1dbd9879f8bbc4b1f7b7876b82611895d58e	2020-03-30T20:00:00Z	6553	1	2.0	0.0	1510.0	53.0	1563.0
114	20200330	AR	473.0	5262.0		62.0	7.0	5735	7199b3f9984cc54342a3d0f5926bff36ef440b6c	2020-03-30T20:00:00Z	5735	5	1.0	14.0	2235.0	47.0	2282.0
115	20200330	AS					0.0	0	955da7e53291581ad33f46d87bad7e4724848fea	2020-03-30T20:00:00Z	0	60	0.0	0.0	0.0	0.0	0.0
