	region_code	region	death	date
565	6	Friuli-Venezia Giulia	63	2015-01-29
566	7	Liguria	82	2015-01-29
567	8	Emilia-Romagna	165	2015-01-29
568	9	Toscana	141	2015-01-29
569	10	Umbria	37	2015-01-29
570	11	Marche	56	2015-01-29
571	12	Lazio	205	2015-01-29
572	13	Abruzzo	51	2015-01-29
573	14	Molise	10	2015-01-29
574	15	Campania	217	2015-01-29
575	16	Puglia	129	2015-01-29
576	17	Basilicata	18	2015-01-29
577	18	Calabria	75	2015-01-29
578	19	Sicilia	189	2015-01-29
579	20	Sardegna	65	2015-01-29
580	1	Piemonte	137	2015-01-30
581	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-30
582	3	Lombardia	306	2015-01-30
583	4	Trentino-Alto Adige/Südtirol	30	2015-01-30
584	5	Veneto	153	2015-01-30
585	6	Friuli-Venezia Giulia	63	2015-01-30
586	7	Liguria	82	2015-01-30
587	8	Emilia-Romagna	165	2015-01-30
588	9	Toscana	141	2015-01-30
589	10	Umbria	37	2015-01-30
590	11	Marche	56	2015-01-30
591	12	Lazio	205	2015-01-30
592	13	Abruzzo	51	2015-01-30
593	14	Molise	10	2015-01-30
594	15	Campania	217	2015-01-30
595	16	Puglia	129	2015-01-30
596	17	Basilicata	18	2015-01-30
597	18	Calabria	75	2015-01-30
598	19	Sicilia	189	2015-01-30
599	20	Sardegna	65	2015-01-30
600	1	Piemonte	137	2015-01-31
601	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-31
602	3	Lombardia	306	2015-01-31
603	4	Trentino-Alto Adige/Südtirol	30	2015-01-31
604	5	Veneto	153	2015-01-31
605	6	Friuli-Venezia Giulia	63	2015-01-31
606	7	Liguria	82	2015-01-31
607	8	Emilia-Romagna	165	2015-01-31
608	9	Toscana	141	2015-01-31
609	10	Umbria	37	2015-01-31
610	11	Marche	56	2015-01-31
611	12	Lazio	205	2015-01-31
612	13	Abruzzo	51	2015-01-31
613	14	Molise	10	2015-01-31
614	15	Campania	217	2015-01-31
615	16	Puglia	129	2015-01-31
616	17	Basilicata	18	2015-01-31
617	18	Calabria	75	2015-01-31
618	19	Sicilia	189	2015-01-31
619	20	Sardegna	65	2015-01-31
620	1	Piemonte	199	2015-02-01
621	2	Valle d'Aosta/Vallée d'Aoste	6	2015-02-01
622	3	Lombardia	353	2015-02-01
623	4	Trentino-Alto Adige/Südtirol	28	2015-02-01
624	5	Veneto	163	2015-02-01
625	6	Friuli-Venezia Giulia	56	2015-02-01
626	7	Liguria	79	2015-02-01
627	8	Emilia-Romagna	188	2015-02-01
628	9	Toscana	159	2015-02-01
629	10	Umbria	44	2015-02-01
630	11	Marche	75	2015-02-01
631	12	Lazio	177	2015-02-01
632	13	Abruzzo	54	2015-02-01
633	14	Molise	13	2015-02-01
634	15	Campania	179	2015-02-01
635	16	Puglia	131	2015-02-01
636	17	Basilicata	12	2015-02-01
637	18	Calabria	72	2015-02-01
638	19	Sicilia	188	2015-02-01
639	20	Sardegna	58	2015-02-01
640	1	Piemonte	199	2015-02-02
641	2	Valle d'Aosta/Vallée d'Aoste	6	2015-02-02
642	3	Lombardia	353	2015-02-02
643	4	Trentino-Alto Adige/Südtirol	28	2015-02-02
644	5	Veneto	163	2015-02-02
645	6	Friuli-Venezia Giulia	56	2015-02-02
646	7	Liguria	79	2015-02-02
647	8	Emilia-Romagna	188	2015-02-02
648	9	Toscana	159	2015-02-02
649	10	Umbria	44	2015-02-02
650	11	Marche	75	2015-02-02
651	12	Lazio	177	2015-02-02
652	13	Abruzzo	54	2015-02-02
653	14	Molise	13	2015-02-02
654	15	Campania	179	2015-02-02
655	16	Puglia	131	2015-02-02
656	17	Basilicata	12	2015-02-02
657	18	Calabria	72	2015-02-02
658	19	Sicilia	188	2015-02-02
659	20	Sardegna	58	2015-02-02
660	1	Piemonte	199	2015-02-03
661	2	Valle d'Aosta/Vallée d'Aoste	6	2015-02-03
662	3	Lombardia	353	2015-02-03
663	4	Trentino-Alto Adige/Südtirol	28	2015-02-03
664	5	Veneto	163	2015-02-03
665	6	Friuli-Venezia Giulia	56	2015-02-03
666	7	Liguria	79	2015-02-03
667	8	Emilia-Romagna	188	2015-02-03
668	9	Toscana	159	2015-02-03
669	10	Umbria	44	2015-02-03
670	11	Marche	75	2015-02-03
671	12	Lazio	177	2015-02-03
672	13	Abruzzo	54	2015-02-03
673	14	Molise	13	2015-02-03
674	15	Campania	179	2015-02-03
675	16	Puglia	131	2015-02-03
676	17	Basilicata	12	2015-02-03
677	18	Calabria	72	2015-02-03
678	19	Sicilia	188	2015-02-03
679	20	Sardegna	58	2015-02-03
680	1	Piemonte	199	2015-02-04
681	2	Valle d'Aosta/Vallée d'Aoste	6	2015-02-04
682	3	Lombardia	353	2015-02-04
683	4	Trentino-Alto Adige/Südtirol	28	2015-02-04
