	date	death	  0 - 30	30 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80 	80 - 85	85 - 90	90 - 95	95 - 100	100 u. mehr
180	2016-06-29	2348	26	68	70	89	143	172	214	349	399	431	286	85	16
181	2016-06-30	2279	25	73	57	92	130	158	201	330	420	382	306	93	12
182	2016-07-01	2431	35	75	59	91	115	157	225	374	426	460	312	82	20
183	2016-07-02	2145	23	55	53	99	102	135	187	341	358	413	285	83	11
184	2016-07-03	2003	18	69	38	88	93	127	159	344	357	362	247	90	11
185	2016-07-04	2298	22	75	68	117	141	143	185	361	380	396	297	95	18
186	2016-07-05	2368	19	79	72	112	136	153	225	374	365	432	303	85	13
187	2016-07-06	2231	23	67	60	101	125	161	196	327	374	399	292	90	16
188	2016-07-07	2261	30	71	57	98	126	167	197	351	368	394	304	87	11
189	2016-07-08	2455	21	67	77	100	147	163	209	384	391	467	315	101	13
190	2016-07-09	2284	23	71	64	74	106	151	202	356	405	406	312	102	12
191	2016-07-10	2332	28	72	53	83	121	154	206	370	401	437	295	90	22
192	2016-07-11	2559	25	58	80	108	133	174	200	392	453	493	309	114	20
193	2016-07-12	2435	24	67	63	106	132	160	239	355	405	453	328	83	20
194	2016-07-13	2313	26	75	55	91	123	150	203	360	367	438	299	109	17
195	2016-07-14	2216	23	47	56	83	120	142	185	352	408	402	289	94	15
196	2016-07-15	2139	24	63	51	85	121	157	167	312	390	393	271	90	15
197	2016-07-16	2225	18	60	54	90	133	153	200	292	418	422	277	95	13
198	2016-07-17	2285	15	76	58	89	126	134	205	375	369	450	289	84	15
199	2016-07-18	2294	23	59	61	92	112	169	213	333	395	395	325	104	13
200	2016-07-19	2316	18	75	83	94	139	170	193	328	405	430	300	72	9
201	2016-07-20	2441	26	71	72	112	114	156	211	365	428	430	349	90	17
202	2016-07-21	2593	24	62	62	107	139	193	242	381	439	498	321	108	17
203	2016-07-22	2659	34	71	66	114	136	167	242	427	431	499	349	112	11
204	2016-07-23	2366	25	78	54	86	135	182	198	354	401	417	312	112	12
205	2016-07-24	2316	27	71	49	79	123	162	201	325	385	449	309	116	20
206	2016-07-25	2449	26	77	63	102	142	171	201	354	444	437	311	107	14
207	2016-07-26	2345	14	67	74	80	117	171	197	326	392	484	314	91	18
208	2016-07-27	2267	23	68	63	67	126	173	205	336	376	423	284	106	17
209	2016-07-28	2313	15	64	56	92	122	158	196	362	428	416	311	79	14
210	2016-07-29	2311	22	60	63	96	115	145	216	369	386	415	300	101	23
211	2016-07-30	2250	28	77	61	94	128	170	214	316	363	398	300	85	16
212	2016-07-31	2222	26	64	52	74	118	152	200	361	356	430	292	86	11
213	2016-08-01	2197	25	69	62	81	111	167	200	349	363	401	256	93	20
214	2016-08-02	2216	21	63	59	95	119	141	183	324	384	440	277	98	12
215	2016-08-03	2305	17	75	55	84	136	146	216	354	389	424	295	103	11
216	2016-08-04	2269	26	58	60	92	105	154	194	339	381	431	299	114	16
217	2016-08-05	2202	23	67	62	89	113	156	182	317	386	424	275	91	17
218	2016-08-06	2149	24	59	62	80	89	152	199	326	395	398	275	73	17
219	2016-08-07	2101	20	51	53	88	108	142	202	314	361	386	265	99	12
220	2016-08-08	2307	18	70	64	101	120	194	194	336	416	404	271	107	12
221	2016-08-09	2134	25	72	53	76	117	162	205	315	348	409	259	77	16
222	2016-08-10	2191	20	51	68	90	118	145	193	354	359	383	297	98	15
223	2016-08-11	2107	15	58	58	91	125	136	181	323	381	367	276	87	9
224	2016-08-12	2229	15	54	78	93	119	154	193	340	361	408	304	96	14
225	2016-08-13	2327	27	74	65	103	118	194	197	361	343	431	315	82	17
226	2016-08-14	2192	18	65	49	90	134	156	184	336	353	407	284	95	21
227	2016-08-15	2394	16	66	67	100	129	172	186	364	415	471	295	99	14
228	2016-08-16	2238	18	66	52	97	129	159	192	317	408	399	297	85	19
229	2016-08-17	2375	21	77	63	114	159	141	205	341	386	443	305	108	12
230	2016-08-18	2366	19	77	57	95	112	182	184	372	402	429	306	114	17
231	2016-08-19	2324	20	72	47	92	121	155	191	347	424	422	329	87	17
232	2016-08-20	2319	24	63	47	89	123	152	217	360	420	390	322	96	16
233	2016-08-21	2242	20	62	67	89	120	154	182	339	349	444	309	89	18
234	2016-08-22	2321	23	67	63	88	128	156	200	359	430	393	295	101	18
235	2016-08-23	2330	14	59	55	90	153	139	200	351	427	419	314	90	19
236	2016-08-24	2479	24	68	63	83	135	149	224	418	432	462	318	87	16
237	2016-08-25	2479	22	67	74	92	133	166	209	404	399	478	312	105	18
238	2016-08-26	2511	28	65	61	96	134	180	195	405	441	499	292	101	14
239	2016-08-27	2487	30	66	53	95	120	184	198	347	433	501	321	112	27
240	2016-08-28	2540	24	78	70	103	130	171	192	349	434	511	359	100	19
241	2016-08-29	2441	26	70	63	95	141	166	226	390	402	401	334	110	17
242	2016-08-30	2254	28	55	68	91	136	176	201	346	385	386	285	87	10
243	2016-08-31	2269	25	65	67	86	126	138	197	347	431	384	302	87	14
244	2016-09-01	2419	23	65	49	105	107	186	230	384	434	424	311	83	18
245	2016-09-02	2294	33	57	67	78	137	159	202	370	375	415	295	94	12
246	2016-09-03	2217	15	66	56	87	105	153	197	328	394	415	276	111	14
247	2016-09-04	2207	26	58	73	83	106	143	178	341	391	384	291	118	15
248	2016-09-05	2214	22	73	56	106	118	153	213	309	351	446	269	92	6
249	2016-09-06	2299	22	53	67	96	131	164	172	342	399	438	298	102	15
250	2016-09-07	2283	25	74	71	89	129	163	173	335	388	430	283	94	29
251	2016-09-08	2398	21	80	56	101	114	155	225	396	405	422	319	88	16
252	2016-09-09	2432	30	77	74	88	130	162	204	366	404	477	313	94	13
253	2016-09-10	2229	21	62	56	88	110	136	168	320	431	424	291	105	17
254	2016-09-11	2261	20	57	68	76	118	159	181	357	388	437	284	98	18
255	2016-09-12	2337	28	70	58	98	130	150	167	366	405	456	292	98	19
256	2016-09-13	2440	23	74	71	89	135	175	199	361	418	473	306	98	18
257	2016-09-14	2435	21	73	65	106	132	147	198	368	442	450	310	111	12
258	2016-09-15	2421	27	78	64	91	119	168	193	378	403	433	333	104	30
259	2016-09-16	2367	23	61	57	92	117	172	219	345	392	478	302	94	15
260	2016-09-17	2262	11	70	49	101	113	165	193	356	374	441	291	89	9
261	2016-09-18	2110	33	59	38	85	110	153	191	293	378	399	284	74	13
262	2016-09-19	2221	24	64	52	89	109	154	218	363	379	388	281	87	13
263	2016-09-20	2234	26	75	50	82	113	146	200	340	387	417	300	89	9
264	2016-09-21	2251	18	61	51	102	132	157	189	345	366	445	309	63	13
265	2016-09-22	2185	15	58	69	94	114	172	172	343	333	385	312	105	13
266	2016-09-23	2230	23	67	55	80	101	168	201	325	398	401	290	103	18
267	2016-09-24	2301	31	69	51	92	119	166	216	328	368	401	316	124	20
268	2016-09-25	2184	16	55	57	87	113	146	177	313	380	413	327	83	17
269	2016-09-26	2328	24	78	68	103	132	171	182	376	367	409	302	101	15
270	2016-09-27	2363	25	55	59	115	134	163	215	367	366	458	286	106	14
271	2016-09-28	2266	27	80	58	111	100	149	172	345	386	426	294	110	8
272	2016-09-29	2378	23	57	50	103	118	161	173	356	444	475	319	92	7
273	2016-09-30	2471	17	75	57	113	123	162	245	367	424	469	320	84	15
274	2016-10-01	2259	20	60	52	61	129	164	157	345	410	442	307	99	13
275	2016-10-02	2271	25	54	75	83	107	168	193	351	380	420	309	93	13
276	2016-10-03	2219	24	64	73	96	108	168	159	363	363	388	305	93	15
277	2016-10-04	2307	29	63	76	123	124	150	164	341	409	428	279	104	17
278	2016-10-05	2294	20	62	56	83	129	158	216	347	380	400	325	94	24
279	2016-10-06	2429	21	70	73	110	123	169	237	317	405	451	325	108	20
