	date	country	confirmed	death	recovered
479	4/14/20	Angola	19.0	2.0	5.0
480	4/15/20	Angola	19.0	2.0	5.0
481	4/16/20	Angola	19.0	2.0	5.0
482	4/17/20	Angola	19.0	2.0	5.0
483	4/18/20	Angola	24.0	2.0	6.0
484	4/19/20	Angola	24.0	2.0	6.0
485	4/20/20	Angola	24.0	2.0	6.0
486	4/21/20	Angola	24.0	2.0	6.0
487	4/22/20	Angola	25.0	2.0	6.0
488	4/23/20	Angola	25.0	2.0	6.0
489	4/24/20	Angola	25.0	2.0	6.0
490	4/25/20	Angola	25.0	2.0	6.0
491	4/26/20	Angola	26.0	2.0	6.0
492	4/27/20	Angola	27.0	2.0	6.0
493	4/28/20	Angola	27.0	2.0	6.0
494	4/29/20	Angola	27.0	2.0	7.0
495	1/22/20	Antigua and Barbuda	0.0	0.0	0.0
496	1/23/20	Antigua and Barbuda	0.0	0.0	0.0
497	1/24/20	Antigua and Barbuda	0.0	0.0	0.0
498	1/25/20	Antigua and Barbuda	0.0	0.0	0.0
499	1/26/20	Antigua and Barbuda	0.0	0.0	0.0
500	1/27/20	Antigua and Barbuda	0.0	0.0	0.0
501	1/28/20	Antigua and Barbuda	0.0	0.0	0.0
502	1/29/20	Antigua and Barbuda	0.0	0.0	0.0
503	1/30/20	Antigua and Barbuda	0.0	0.0	0.0
504	1/31/20	Antigua and Barbuda	0.0	0.0	0.0
505	2/1/20	Antigua and Barbuda	0.0	0.0	0.0
506	2/2/20	Antigua and Barbuda	0.0	0.0	0.0
507	2/3/20	Antigua and Barbuda	0.0	0.0	0.0
508	2/4/20	Antigua and Barbuda	0.0	0.0	0.0
509	2/5/20	Antigua and Barbuda	0.0	0.0	0.0
510	2/6/20	Antigua and Barbuda	0.0	0.0	0.0
511	2/7/20	Antigua and Barbuda	0.0	0.0	0.0
512	2/8/20	Antigua and Barbuda	0.0	0.0	0.0
513	2/9/20	Antigua and Barbuda	0.0	0.0	0.0
514	2/10/20	Antigua and Barbuda	0.0	0.0	0.0
515	2/11/20	Antigua and Barbuda	0.0	0.0	0.0
516	2/12/20	Antigua and Barbuda	0.0	0.0	0.0
517	2/13/20	Antigua and Barbuda	0.0	0.0	0.0
518	2/14/20	Antigua and Barbuda	0.0	0.0	0.0
519	2/15/20	Antigua and Barbuda	0.0	0.0	0.0
520	2/16/20	Antigua and Barbuda	0.0	0.0	0.0
521	2/17/20	Antigua and Barbuda	0.0	0.0	0.0
522	2/18/20	Antigua and Barbuda	0.0	0.0	0.0
523	2/19/20	Antigua and Barbuda	0.0	0.0	0.0
524	2/20/20	Antigua and Barbuda	0.0	0.0	0.0
525	2/21/20	Antigua and Barbuda	0.0	0.0	0.0
526	2/22/20	Antigua and Barbuda	0.0	0.0	0.0
527	2/23/20	Antigua and Barbuda	0.0	0.0	0.0
528	2/24/20	Antigua and Barbuda	0.0	0.0	0.0
529	2/25/20	Antigua and Barbuda	0.0	0.0	0.0
530	2/26/20	Antigua and Barbuda	0.0	0.0	0.0
531	2/27/20	Antigua and Barbuda	0.0	0.0	0.0
532	2/28/20	Antigua and Barbuda	0.0	0.0	0.0
533	2/29/20	Antigua and Barbuda	0.0	0.0	0.0
534	3/1/20	Antigua and Barbuda	0.0	0.0	0.0
535	3/2/20	Antigua and Barbuda	0.0	0.0	0.0
536	3/3/20	Antigua and Barbuda	0.0	0.0	0.0
537	3/4/20	Antigua and Barbuda	0.0	0.0	0.0
538	3/5/20	Antigua and Barbuda	0.0	0.0	0.0
539	3/6/20	Antigua and Barbuda	0.0	0.0	0.0
540	3/7/20	Antigua and Barbuda	0.0	0.0	0.0
541	3/8/20	Antigua and Barbuda	0.0	0.0	0.0
542	3/9/20	Antigua and Barbuda	0.0	0.0	0.0
