	week	region	age_group	male	female	total
198	01/01/2015-11/01/2015	Abruzzo	3	8.0	20.0	28.0
199	12/01/2015-18/01/2015	Abruzzo	3	10.0	16.0	26.0
200	19/01/2015-25/01/2015	Abruzzo	3	11.0	6.0	17.0
201	26/01/2015-01/02/2015	Abruzzo	3	17.0	12.0	29.0
202	02/02/2015-08/02/2015	Abruzzo	3	7.0	15.0	22.0
203	09/02/2015-15/02/2015	Abruzzo	3	8.0	13.0	21.0
204	16/02/2015-22/02/2015	Abruzzo	3	9.0	15.0	24.0
205	23/02/2015-29/02/2015	Abruzzo	3	10.0	15.0	25.0
206	01/03/2015-07/03/2015	Abruzzo	3	10.0	12.0	22.0
207	08/03/2015-14/03/2015	Abruzzo	3	8.0	13.0	21.0
208	15/03/2015-21/03/2015	Abruzzo	3	8.0	10.0	18.0
209	01/01/2016-11/01/2016	Abruzzo	3	15.0	22.0	37.0
210	12/01/2016-18/01/2016	Abruzzo	3	5.0	8.0	13.0
211	19/01/2016-25/01/2016	Abruzzo	3	9.0	9.0	18.0
212	26/01/2016-01/02/2016	Abruzzo	3	9.0	18.0	27.0
213	02/02/2016-08/02/2016	Abruzzo	3	10.0	12.0	22.0
214	09/02/2016-15/02/2016	Abruzzo	3	8.0	16.0	24.0
215	16/02/2016-22/02/2016	Abruzzo	3	7.0	11.0	18.0
216	23/02/2016-29/02/2016	Abruzzo	3	8.0	13.0	21.0
217	01/03/2016-07/03/2016	Abruzzo	3	7.0	6.0	13.0
218	08/03/2016-14/03/2016	Abruzzo	3	7.0	7.0	14.0
219	15/03/2016-21/03/2016	Abruzzo	3	6.0	9.0	15.0
220	01/01/2017-11/01/2017	Abruzzo	3	14.0	18.0	32.0
221	12/01/2017-18/01/2017	Abruzzo	3	20.0	30.0	50.0
222	19/01/2017-25/01/2017	Abruzzo	3	11.0	15.0	26.0
223	26/01/2017-01/02/2017	Abruzzo	3	14.0	13.0	27.0
